Attendance_Percentage,Internal_Assessment_Marks,Assignment_Score,Study_Hours_Per_Day,Previous_Semester_Percentage,Performance
91,42,90,4.8,89,Excellent
94,44,94,5.1,94,Excellent
97,46,98,5.4,99,Excellent
100,48,87,5.7,87,Excellent
90,50,91,6,92,Excellent
93,41,95,6.3,97,Excellent
96,43,99,6.6,85,Excellent
99,45,88,6.9,90,Excellent
89,47,92,4.6,95,Excellent
92,49,96,4.9,100,Excellent
95,40,100,5.2,88,Excellent
98,42,89,5.5,93,Excellent
88,44,93,5.8,98,Excellent
91,46,97,6.1,86,Excellent
94,48,86,6.4,91,Excellent
97,50,90,6.7,96,Excellent
100,41,94,7,84,Excellent
90,43,98,4.7,89,Excellent
93,45,87,5,94,Excellent
96,47,91,5.3,99,Excellent
99,49,95,5.6,87,Excellent
89,40,99,5.9,92,Excellent
92,42,88,6.2,97,Excellent
95,44,92,6.5,85,Excellent
98,46,96,6.8,90,Excellent
88,48,100,4.5,95,Excellent
91,50,89,4.8,100,Excellent
94,41,93,5.1,88,Excellent
97,43,97,5.4,93,Excellent
100,45,86,5.7,98,Excellent
79,35,77,3.4,76,Good
83,38,82,3.8,82,Good
87,41,87,4.2,72,Good
75,33,75,4.6,78,Good
79,36,80,5,84,Good
83,39,85,3.3,74,Good
87,42,73,3.7,80,Good
75,34,78,4.1,70,Good
79,37,83,4.5,76,Good
83,40,88,4.9,82,Good
87,32,76,3.2,72,Good
75,35,81,3.6,78,Good
79,38,86,4,84,Good
83,41,74,4.4,74,Good
87,33,79,4.8,80,Good
75,36,84,3.1,70,Good
79,39,72,3.5,76,Good
83,42,77,3.9,82,Good
87,34,82,4.3,72,Good
75,37,87,4.7,78,Good
79,40,75,3,84,Good
83,32,80,3.4,74,Good
87,35,85,3.8,80,Good
75,38,73,4.2,70,Good
79,41,78,4.6,76,Good
83,33,83,5,82,Good
87,36,88,3.3,72,Good
75,39,76,3.7,78,Good
79,42,81,4.1,84,Good
83,34,86,4.5,74,Good
66,27,62,2.3,63,Average
71,31,68,2.8,70,Average
76,23,74,3.3,59,Average
64,27,60,1.8,66,Average
69,31,66,2.3,73,Average
74,23,72,2.8,62,Average
62,27,58,3.3,69,Average
67,31,64,1.8,58,Average
72,23,70,2.3,65,Average
77,27,56,2.8,72,Average
65,31,62,3.3,61,Average
70,23,68,1.8,68,Average
75,27,74,2.3,57,Average
63,31,60,2.8,64,Average
68,23,66,3.3,71,Average
73,27,72,1.8,60,Average
61,31,58,2.3,67,Average
66,23,64,2.8,56,Average
71,27,70,3.3,63,Average
76,31,56,1.8,70,Average
64,23,62,2.3,59,Average
69,27,68,2.8,66,Average
74,31,74,3.3,73,Average
62,23,60,1.8,62,Average
67,27,66,2.3,69,Average
72,31,72,2.8,58,Average
77,23,58,3.3,65,Average
65,27,64,1.8,72,Average
70,31,70,2.3,61,Average
75,23,56,2.8,68,Average
48,15,42,0.9,48,Poor
54,20,49,1.3,56,Poor
60,10,56,1.7,46,Poor
46,15,41,2.1,54,Poor
52,20,48,0.7,44,Poor
58,10,55,1.1,52,Poor
44,15,40,1.5,42,Poor
50,20,47,1.9,50,Poor
56,10,54,0.5,40,Poor
42,15,39,0.9,48,Poor
48,20,46,1.3,56,Poor
54,10,53,1.7,46,Poor
60,15,38,2.1,54,Poor
46,20,45,0.7,44,Poor
52,10,52,1.1,52,Poor
58,15,37,1.5,42,Poor
44,20,44,1.9,50,Poor
50,10,51,0.5,40,Poor
56,15,36,0.9,48,Poor
42,20,43,1.3,56,Poor
48,10,50,1.7,46,Poor
54,15,35,2.1,54,Poor
60,20,42,0.7,44,Poor
46,10,49,1.1,52,Poor
52,15,56,1.5,42,Poor
58,20,41,1.9,50,Poor
44,10,48,0.5,40,Poor
50,15,55,0.9,48,Poor
56,20,40,1.3,56,Poor
42,10,47,1.7,46,Poor
